RK,PLAYER NAME,TEAM,POS,AGE
168,De'Zhaun Stribling,SF,WR72,23
171,Kayshon Boutte,NE,WR73,24
172,Pat Bryant,DEN,WR74,23
173,Deebo Samuel Sr.,FA,WR75,30
177,Tyreek Hill,FA,WR76,32
182,Isaac TeSlaa,DET,WR78,24
183,Adonai Mitchell,NYJ,WR79,23
185,Elijah Sarratt,BAL,WR80,22
193,Kyle Williams,NE,WR85,23
205,Calvin Ridley,TEN,WR88,31
206,Darnell Mooney,NYG,WR89,28
208,Ja'Kobi Lane,BAL,WR90,22
211,Tory Horton,SEA,WR91,23
217,Rashod Bateman,BAL,WR93,26
218,Dontayvion Wicks,PHI,WR94,24
219,Keon Coleman,BUF,WR95,22
221,Marvin Mims Jr.,DEN,WR96,24
226,Tre Tucker,LV,WR97,25
227,Malik Washington,MIA,WR98,25
237,Keenan Allen,LAC,WR99,34
